Name,Category,Phone,Address,City,Zipcode,Website,AdditionalInfo
Childrens Home Society of Washington - North Seattle Family Center,Offers workshops on various topics,(206) 364-7930,3200 NE 125th St Suite 2,Seattle,98125,,"Offers workshops on topics ranging from nutrition, job skills, tax preparation, money management to welfare rights and more."
Centerpoint Institute for Life and Career Renewal,Provides services to support adults in career and life choices,(206) 686-5433,"4000 NE 41st St Bldg D, Suite 2",Seattle,98105,,Provides services to support adults in making meaningful career and life choices; Career development and outplacement services for organizations.
Center for Human Services - Shoreline Family Support Center,Computers available for job search assistance,(206) 362-7282,Shoreline Family Support 17018 15th Ave,Shoreline,98155,,"Computers are available to write resumes or to search job listings on the Internet; Offers 'how to' handouts for creating resumes, cover letters, etc."
Center for Career Alternatives (CCA),Vocational training and job placement,(206) 322-9080,901 Rainier Ave S,Seattle,98144,,"Provides vocational training and job placement for youth and adults, basic skills, GED, citizenship classes, and short-term skills training. Youth Employment and Education: Offers a summer employment and basic skills training program for low-income individuals."
Center for Career Alternatives - White Center,Employment placement and training services,(206) 957-0684,9615 16th Ave SW,Seattle,98106,,"Offers employment placement, short-term employment training, and career progression services primarily to the residents of White Center."
City of Seattle - Personnel Department,Current job openings for the city of Seattle,(206) null,"Seattle Municipal Tower 700 5th Ave, Sui",Seattle,98102,,For current job openings for the city of Seattle. City of Seattle Employment Website: Lists available job positions online and offers information and materials on employment process for the city; disability accommodations may be requested.
Adecco,Temporary Agency,(206) 587-3929,701 5th Avenue Suite 4630,Seattle,98104,http://www.adeccousa.com,
Washington State Department of Services for the Blind,"Business Enterprise Program, Vocational Rehabilitation Program",(206) 721-4422,3411 S Alaska St,Seattle,98118,,"Business Enterprise Program, trains and licenses legally blind people to manage snack/gift shops, espresso stands, and food service facilities in government buildings. Vocational Rehabilitation Program, provides job training, employment counseling."
Alliance of People with Disabilities - East King County,Job search skills and job retention services,(425) 558-0993,16315 NE 87th St Suite B3,Redmond,98052,,Offers job search skills for persons with disabilities and job retention services for both program participants and their employers.
All Staff Inc,Temporary Agency,(425) 793-5460,613 South 3rd Street,Renton,98057,http://www.allstaffnow.com,
Ajilon Finance,Temporary Agency,(425) 635-0700,600 108th Avenue Northe Suite 650,Bellevue,98004,,
Aetea Information Technology,Temporary Agency,(425) 656-0790,16400 Southcenter Pkwy,Tukwila,98188,,Temporary Agency
Aeroteck,Temporary Agency,(425) 883-2178,18700 Northeast 65th Str,Redmond,98074,http://www.aerotek.com,Temporary Agency
Advantage Staffing,Temporary Agency,(425) 255-2310,600 108th Avenue Northe,Bellevue,98004,http://www.adstaffnw.com,Temporary Agency
Advantage Staffing,Temporary Agency,(206) 447-7930,600 108th Avenue Northe,Bellevue,98004,http://www.adstaffnw.com,Temporary Agency
Adecco Technical,Temporary Agency,(425) 226-8333,15 South Grady Way,Renton,98057,http://www.adeccotechnical.com,Temporary Agency
Adecco Employment Services,Temporary Agency,(206) 729-7129,9580 1st Avenue Northea,Seattle,98115,http://adeccousa.com,Temporary Agency
Almond & Associates,Temporary Agency,(425) 455-2224,11911 Northeast 1st Stree Suite 305,Bellevue,98005,http://www.almondandassociates.com,Temporary Agency
Adecco,Temporary Agency,(206) 575-3888,631 Strander Boulevard,Tukwila,98188,http://www.adeccousa.com,Temporary Agency
Almond & Associates,Temporary Agency,(253) 867-1555,20415 72nd South,Kent,98032,,Temporary Agency
Adams Temporaries - Southcenter,Temporary Agency,(206) 575-6266,,Seattle,98101,http://www.adamsandassoc.com,Temporary Agency
Adams Career Solutions LLC - Tukwila,Temporary Agency,(206) 575-6266,16400 Southcenter Parkw Suite 400,Tukwila,98188,http://www.adamsandassoc.com,Temporary Agency
Adams & Associates,Temporary Agency,(206) 575-6266,,Southcenter Seattle,98101,http://www.adamsandassoc.com,Temporary Agency
Adams & Associates,Temporary Agency,(206) 447-9200,1501 4th Avenue - Suite,Seattle,98101,http://www.adamsandassoc.com,Referrals to temporary and permanent jobs in clerical and office support.
Accountemps - Federal Way,Temporary Agency,(253) 815-9300,3450 South 344th Way,Federal Way,98001,http://www.accountemps.com,Temporary Agency
Accountants Inc - Bellevue,Temporary Agency,(425) 454-4111,,Bellevue,98004,http://www.accountantsinc.com,Temporary Agency
AARP - Senior Community Service Employment Program,Job Training,(206) 624-6698,655 S Orcas St - Suite 20,Seattle,98108,,"Recruits, trains and places applicants with non-profit and government agencies."
A#1 Accounting Limited,Temporary Agency,(206) 248-8087,640 Southwest 116th Plac,Seattle,98146,,Temporary Agency
Nursefinders of Seattle Staffing,Temporary Agency,,,Seattle,98101,,Temporary Agency
Hallmark Services / Temps,Temporary Agency,(206) 587-5360,1000 2nd Avenue Suite 1450,Seattle,98104,http://www.hallmarkservice.com,Temporary and permanent job placement agency.
Adecco Employment Services,Temporary Agency,(425) 889-9666,3055 112th Avenue Nort Suite 208,Renton,98055,http://www.adecco.com,Temporary Agency
Available Personnel Services,Temporary Agency,(206) 433-8935,243 Southwest 152nd Str,Burien,98166,http://www.availablepersonnel.com,Temporary Agency
Washington State Labor and Industries Department - Seattle,Workers Compensation - Vocational Rehabilitation,(206) 515-2800,315 5th Ave S Suite 200,Seattle,98104-,,Offers vocational rehabilitation services to qualified injured workers.
Washington State Labor and Industries Department - South,Workers Compensation - Vocational Rehabilitation,(206) 835-1000,12806 Gateway Dr,Tukwila,98168-,,Offers vocational rehabilitation services to qualified injured workers.
"Washington State Labor Council, AFL-CIO",Dislocated Worker Programs,(206) 283-6121,314 1st Ave W,Seattle,98119-,,Helps dislocated workers access federal and state job training programs.
Washington Womens Employment and Education,REACH Plus - Job Readiness Class,(253) 859-3718,515 W Harrison St Suite 208,Kent,98032-,,"Offers five-week job readiness, job search assistance, and computer instruction for women and men. Provides follow-up services for two years."
Westaff,Temporary Agency,(253) 850-9838,4103 Centre Northeast Suite 300,Auburn,98002,,Temporary Agency
Westaff,Temporary Agency,(425) 454-4222,11100 Northeast 8th Stre Suite 140,Bellevue,98004,http://www.westaff.com,Temporary Agency
Westaff,Temporary Agency,(206) 642-6100,2033 6th Avenue Suite 220,Seattle,98121,http://www.westaff.com/home.html,Temporary Agency
Bellevue Parks and Community Services,Well-Kept,(425) 452-7225,450 110th Ave NE,Bellevue,98004,,Hires teenagers to work on a variety of projects throughout the park system in July and August. Cultural diversity program
Bellevue Community College,Career Center,(425) 564-4054,3000 Landerholm Circle,Bellevue,98007-,http://www.bcc.ctc.edu,"Offers career education classes and workshops, educational planning, and personal growth classes. Womens Center: Offers basic skills assessment, career planning, and job search skills courses, and referral to scholarship and community."
Barmore Personnel,Temporary Agency,(253) 854-7000,158 Deeny Way,Seattle,98144,http://www.barmorepersonnel.com,Temporary Agency
Allyis / Essential Web Design,Temporary Agency,(425) 527-1099,21520 30th Drive Southe,Bothell,98021,,Temporary Agency
Available Personnel Services,Temporary Agency,(253) 838-7877,,Federal Way,98003,http://www.availablepersonnel.com,Temporary Agency
King CAMP (Central Area Motivation Program),Employment Assistance,(206) 812-4940,722 18th Ave,Seattle,98104,,"Ex-offender employment assistance program that offers resume writing tips, job readiness training, and goal development skills."
ATWORK! - Issaquah,Community Services,(425) 274-4000,690 NW Juniper St.,Issaquah,98027-,,Provides volunteering activities and vocational development and placement services for individuals with developmental disabilities.
ATWORK! - Bellevue,Community Services,(425) 274-4040,15155 Bel Red Rd,Bellevue,98007,,Provides volunteering activities and vocational development and placement services for individuals with developmental disabilities.
Asian Counseling & Referral Service,Job Training,(206) 695-7600,720 8th Ave. S. Suite 200,Seattle,98144,http://www.acrs.org,"Provides job training that includes job readiness classes, job placement help, and case management through the first year on the job."
Artsource Inc,Temporary Agency,(206) 441-1114,,Seattle,98101,,
Artsource,Temporary Agency,(425) 688-0094,505 106th Avenue Northe Suite 200,Bellevue,98004,http://www.filtertalent.com,
Archdiocesan Housing Authority - The Giving Tree,Giving Tree Workshop,(206) 340-1575,2008 Westlake Ave,Seattle,98121,,"Provides homeless and low-income men and women the opportunity to handcraft wooden toys, preparing them for employment and building their self-confidence."
Apprenticeship Training,Department of Labor Apprenticeship,(206) 553-0076,,Seattle,,,Department of Labor apprenticeship and labor services
Appleone Employment Services,Temporary Agency,(253) 945-6525,1808 South 320th Street,Federal Way,98003,http://www.appleone.com,
Appleone Employment Services,Temporary Agency,(425) 451-7700,305 108th Avenue Northe,Bellevue,98004,http://www.appleone.com,
Apex Systems Group,Temporary Agency,(206) 241-9119,1218 3rd Avenue Suite 505,Seattle,98101,http://www.apexllc.com,
King Available Personnel Services,Temporary Agency,(206) 405-3839,,Seattle,98101,http://www.availablepersonnel.com,
Crista Ministries - Shoreline,Intercristo Job Service,(206) 546-7330,19303 Fremont Ave N,Shoreline,98133,,Offers a computerized job service to match job seekers with current openings in non-profit Christian organizations.
El Centro de la Raza,Job Training and Placement,(206) 329-7960,2524 16th Ave. S.,Seattle,98144,,Job training and placement
Manpower - Lynnwood,Temporary Agency,(206) 447-5627,3400 188th Street Southw Suite STE,Seattle,98101,http://www.us.manpower.com,
Downtown Emergency Service Center - Connections,Job/Vocational Training and Housing Advocacy,(206) 515-1555,505 3rd Ave,Seattle,98104,,"Provides job/vocational training and housing advocacy for homeless who lack other support services. Clients receive meals, chemical dependency, hygiene services."
Dow Norma J / Liebertz James,Temporary Agency,(425) 747-8095,12827 Southeast 40th Pla,Bellevue,98006,http://www.dentalemploymentservices.co,
Dental Professionals Inc,Temporary Agency,(206) 767-4851,4700 42nd Avenue South Suite 460,Seattle,98116,http://www.dentalp.com,
Dental Professionals Employment Services,Temporary Agency,(425) 451-3391,,Bellevue,98004,http://www.dentalp.com,
Dental Medstaff,Temporary Agency,(206) 361-8419,,Seattle,98101,http://www.medstaff-inc.com,
Dental Employment Services Inc,Temporary Agency,(425) 747-8095,,Bellevue,98006,http://www.dentalemploymentservices.co,
Deaf-Blind Service Center,Mentor Services,(206) 323-9178,2366 Eastlake Ave E. Suite 206,Seattle,98102,,Provides mentors for new interpreters wanting skills to work with those who are Deaf-Blind.
CULI Services,Temporary Agency,(206) 297-9900,,Seattle,98101,,
Community Psychiatric Clinic,Vocational Rehabilitation and Supported Employment,(206) 545-2400,Administrative Office 4319 Stone Way,Seattle,98103,,Provides vocational rehabilitation and supported employment for adults with psychiatric disabilities.
CSR Tech Services,Temporary Agency,(206) 382-5555,720 Olive Way Suite 1510,Seattle,98101,http://www.csrtech.com,
Events and Promotions,Temporary Agency,(206) 718-6700,23143 Southeast 27th Wa,Issaquah,98029,,
Creative Group - Seattle,Temporary Agency,(206) 749-9046,601 Union Street Suite 4300,Seattle,98101,http://www.creativegroup.com,
Cottage Lake Community Service Center - King County Community,County Government Services,(206) 296-2733,,Seattle,,,"Provides county government services including licensing, property tax services, and voter registration."
Corestaff Services,Temporary Agency,(206) 623-1750,,Seattle,98101,http://www.corestaff.com,
Corestaff Services,Temporary Agency,(425) 251-5006,,Seattle,,http://www.corestaff.com,
Corestaff Services,Temporary Agency,(425) 454-0718,,Bellevue,98004,http://www.corestaff.com,
Contractors Resources,Temporary Agency,(425) 641-3604 / (,16301 Northeast 8th Stre,Bellevue,98008,,
Contract Employment Weekly,Temporary Agency,(425) 806-5200,11711 North Creek Park,Bothell,98011,http://www.ceweekly.com,
King Consultnet,Temporary Agency,(425) 637-9700,1800 112th Avenue Nort,Bellevue,98004,,Temporary Agency
Computer Horizon Corporation,Temporary Agency,(425) 893-9450,8528 120th Avenue Nort,Kirkland,98033,http://www.computerhorizons.com,Temporary Agency
Community Psychiatric Clinic - Eastside Regional Center,Temporary Agency,(425) 454-3021,Eastside Regional Servic 13133 Bel Red,Bellevue,98005,,"Provides assessments, training services, job placement, and job retention services for enrolled comsumers."
CTS Technical Services,Temporary Agency,(425) 451-0051,11100 Northeast 8th Stre,Bellevue,98004,,Temporary Agency
Forever Working Labor Calendar - Seattle,Temporary Agency,(206) 749-0999,Seattle,Seattle,98101,http://www.laborworx.com,Temporary Agency
H L YOH Company,Temporary Agency,(206) 720-5300,1910 Fairview Avenue E,Seattle,98102,,Temporary Agency
Green River Community College - Kent,Professional/Technical Education,(253) 856-9595,417 Ramsey Way Suite 112,Kent,98032,,"Offers professional education, continuing education and job training skills."
Green River Community College,Professional/Technical Education,(253) 833-9111 ext 1240,SE 320th St,Auburn,98092-,,"Professional/Technical Education: Offers vocational training in numerous fields to high school graduates. Student Employment Center, offers job search assistance for Green River students and residents of surrounding community. Worker Ret"
Goodwill - Seattle - STRIVE,Work Readiness Program,(206) 860-9675,1400 S Lane St,Seattle,98144-,http://www.seattlegoodwill.org,"Conducts work readiness and retention program that includes training for 40 hours per week for 3 weeks, plus 1 week of job search."
Goodwill - Seattle,Evaluation and Training Program,(206) 860-5791,1400 S Lane St,Seattle,98144-,http://www.seattlegoodwill.org,"Provides evaluation and paid on-the-job training for adults, ages 18 and older, in many areas. Provides career resources for individuals who are job hunting, changing career, or interested in job readiness workshops."
Globe Temporaries,Temporary Agency,(206) 443-4314,2001 6th Avenue Suite 306,Seattle,98121,,Temporary Agency
Global Gynex Inc,Temporary Agency,(425) 467-0230,606 110th Avenue Northe,Bellevue,98004,http://www.globalcynex.com,Temporary Agency
Gethsemane Community Services,Employment Assistance,(206) 682-3620,Gethsemane Lutheran Ch 911 Stewart St,Seattle,98101,,"Provides employment search assistance, tutoring, computer and phone use, clothing vouchers, help with work-related needs."
General Employment Service Inc - Seattle,Temporary Agency,(206) 623-1750,600 University Street Suite 2525,Seattle,98101,http://www.corestaff.com,Temporary Agency
General Employment Service Inc - Bellevue,Temporary Agency,(425) 454-0718,10800 Northeast 8th Stre,Bellevue,98004,http://www.corestaff.com,Temporary Agency
Blackriver Community Service Center - King County Community,Government Services,(206) 296-7810,Seattle,Seattle,,,"Provides county government services including licensing, property tax services, and road projects."
Fremont Public Association - Volunteer Program,Volunteer Coordination,(206) 957-4779,"Volunteer Program 464 12th Ave, S",Seattle,98122,,"Recruits for and coordinates AmeriCorps, Reading Corps, and VISTA volunteer positions."
Essential Design (Allyis),Temporary Agency,(425) 527-1099 / (,,Bellevue,98004,http://www.allyis.com,Temporary Agency
FDSI Consulting,Temporary Agency,(425) 637-6505,600 108th Avenue Northe,Bellevue,98004,,Temporary Agency
FareStart Job Training,Job Training Program,(206) 443-1233,1902 2nd Ave,Seattle,98101,,"FareStart Restaurant (2100 Building, Downtown Library): Operates a restaurant/contract meals/catering business that is open to the public; This is NOT a congregate meal program. Restaurant/catering job training and placement and case man"
Family and Adult Service Center,Work Skills Development,(206) 441-8405,2104 3rd Ave,Seattle,98121,,"Assists homeless, umployment clients to develop work skills; Offers work for six months and stipend wage."
Express Personnel Services - Woodinville,Temporary Agency,(425) 489-9408,9833 Crystal Lake Dr,Woodinville,98072,http://www.expresspersonnel.com,Temporary Agency
Express Personnel Services - Seattle,Temporary Agency,(206) 443-5627,2401 4th Avenue Suite 150,Seattle,98121,http://www.expresspersonnel.com,Temporary Agency
Express Personnel Services - Seattle,Temporary Agency,(206) 363-1140,13510 Aurora Avenue No,Seattle,98133,http://www.expresspersonnel.com,Temporary Agency
Express Personnel Services - Seattle,Temporary Agency,(206) 343-5025,1201 South 4th Avenue Suite 101,Seattle,98134,http://www.expresspersonnel.com,Temporary Agency
Express Personnel Services - Seattle,Temporary Agency,(425) 778-3526,,Seattle,98133,http://www.expresspersonnel.com,Temporary Agency
Express Personnel Services - Redmond,Temporary Agency,(425) 747-2424,15230 Northeast 24th Str,Redmond,98052,http://www.expresspersonnel.com,Temporary Agency
Express Personnel Services - Kent,Temporary Agency,(253) 850-1344,841 Central Avenue Nort,Kent,98032,http://www.expresspersonnel.com,Temporary Agency
Downtown Human Services Council,Job Readiness,(206) 461-3865,626 S. Jackson St.,Seattle,98104,,Job readiness and placement
General Employment Service Inc,Temporary Agency,(425) 251-5006 / (,,Tukwila,98188,http://www.corestaff.com,Temporary Agency
Labor Works - Tukwila,Temporary Agency,(206) 244-3213 / (,11234 Tukwila Internatio,Tukwila,98168,http://www.laborworx.com,Temporary Agency
Labor Ready - Renton,Temporary Agency,(425) 226-6613,950 Harrington Avenue,Renton,98056,http://www.laborready.com,Temporary Agency
Labor Ready - SeaTac,Temporary Agency,(206) 870-5128,20032 International Boul,SeaTac,98198,http://www.laborready.com,Temporary Agency
Labor Ready - Seattle,Temporary Agency,(206) 767-9299,9461 Delridge Way Sout,Seattle,98106,http://www.laborready.com,
Labor Ready - Seattle,Temporary Agency,(206) 332-9655,1250 South 1st Ave,Seattle,98134,http://www.laborready.com,Temporary Agency
Labor Ready - Seattle,Temporary Agency,(206) 522-0581,10109 Aurora Avenue No,Seattle,98133,http://www.laborready.com,Temporary Agency
Labor Ready - Seattle,Temporary Agency,(206) 381-1623,219 Pontius Avenue Nort,Seattle,98109,http://www.laborready.com,Temporary Agency
Labor Ready - Seattle,Temporary Agency,(206) 364-4725,12742 Northeast Lake Cit,Seattle,98125,http://www.laborready.com,Temporary Agency
Manpower - 24-hour Job Line,Temporary Agency,(206) 447-5627,N/A,Seattle,98101,http://www.us.manpower.com,Temporary Agency
Labor Ready - Woodinville,Temporary Agency,(425) 488-7102,17319 139th Avenue Nor,Woodinville,98072,http://www.laborready.com,Temporary Agency
Labor Works - Auburn,Call or write for more information,(253) 939-9675,901 Auburn Way North,Auburn,9802,http://wwwlaborworx.com,Call or write for more information.
Labor Works - Bellevue,Temporary Agency,(425) 643-2500,12001 NE 12th Street Suite 84,Bellevue,98005,http://www.laborworx.com,Temporary Agency
Labor Works - Burien,Temporary Agency,(206) 766-9675,14611 South 1st Avenue,Burien,98168,http://www.laborworx.com,Temporary Agency
Labor Ready - Kent,Temporary Agency,(253) 859-5780,225 State Avenue North,Kent,98030,http://www.laborready.com,Temporary Agency
Labor Works - Seattle,Temporary Agency,(206) 781-8582,6411 Roosevelt Way Nor,Seattle,98115,http://www.laborworx.com,Temporary Agency
Labor Ready - Seattle,Temporary Agency,(206) 782-9185,1112 Northwest Ballard,Seattle,98107,http://www.laborready.com,Temporary Agency
Laboratory Support On Assignment,Temporary Agency,(206) 622-6323,900 4th Avenue,Seattle,98164,,Temporary Agency
Labtemps / Medtemps,Temporary Agency,(425) 602-5775,2625 Northup Way,Bellevue,98004,http://www.pugetsoundstaffing.com,Temporary Agency
Lady Fridays Office Services,Temporary Agency,(206) 612-8206,7404 S 127th Street,Seattle,98178,,Temporary Agency
Lake Washington Technical College,Offers short-term training in office and customer service occupations; educational planning and career exploration for low-income parents.,(425) 739-8315,F 11605 132nd Ave NE,Kirkland,98034-,,"Offers short-term training in office and customer service occupations; educational planning and career exploration for low-income parents. Offers vocational training, job skill improvement, worker retraining programs, professional training certi"
Law Dawgs Legal Team Attorney,Temporary Agency,(206) 224-8269,1201 3rd Avenue,Seattle,98101,http://www.lawdawgs.com,Temporary Agency
Legal Ease LLC,Temporary Agency,(425) 822-1157,615 Market Street,Kirkland,98033,http://www.legalease.com,Temporary Agency
Lighthouse for the Blind,"Service, Office and System (SOS), provides specialized training program for people who are blind or visually impaired and want entry-level administrative positions. Work Adjustment, provides job counseling and training for blind and deaf-blind a",(206) 322-4200,2501 S Plum St,Seattle,98144,,"Service, Office and System (SOS), provides specialized training program for people who are blind or visually impaired and want entry-level administrative positions. Work Adjustment, provides job counseling and training for blind and deaf-blind a"
Long Service Corp.,Call or write for more information,(206) 763-8433,,Seattle,,,Call or write for more information.
Madden Industrial Craftsman,Temporary Agency,(425) 291-9190,252 Southwest 43rd Stree,Renton,98057,http://www.mici.biz,Temporary Agency
Community House Mental Health - Capitol Hill,"Provides assessment, work skills groups, and job placement for mentally ill adults.",(206) 322-2387,431 Boylston Ave E,Seattle,98102,,"Provides assessment, work skills groups, and job placement for mentally ill adults."
Employco Staffing Inc,Temporary Agency,(206) 624-1700,1511 3rd Avenue Suite 621,Seattle,98101,http://www.employcoinc.com,Temporary Agency
Manpower - Bellevue Professional,Temporary Agency,(425) 825-5627,,Bellevue,98004,http://www.us.manpower.com,Temporary Agency
Manpower - Bellevue,Temporary Agency,(425) 822-5060,11808 Northup Way,Bellevue,98005,http://www.us.manpower.com,Temporary Agency
"Labor Works - Corporate Offices, Auburn",Temporary Agency,(253) 939-9675,901 Auburn Way North,Auburn,98002,http://www.laborworx.com,Temporary Agency
King County Library System - Boulevard Park,Offers materials and Internet searching on job seeking and exploring a new career.,(206) 242-8662,12015 Roseberg Ave S,Seattle,98168,,Offers materials and Internet searching on job seeking and exploring a new career.
Command Staffing,Temporary Agency,(206) 223-1991,1900 Airport Way South,Seattle,98134,http://www.commandonline.com,Temporary Agency
Command Staffing,Temporary Agency,(425) 462-2700,,Bellevue,98004,,Temporary Agency
Command Labor,Temporary Agency,(253) 520-1050,307 Lincoln Avenue,Kent,98032,,Temporary Agency
Comforce Technical Services,Temporary Agency,(425) 883-2233,4002 148th Avenue Nort,Redmond,98052,,Temporary Agency
Labor Systems,Temporary Agency,(206) 542-9809,,Seattle,98133,,Temporary Agency
Coape Staffing Network,Temporary Agency,(253) 813-2677,1404 Central Avenue Sou,Kent,98032,http://www.coapestaffing.com,
Labor Ready - Bellingham,Temporary Agency,(360) 647-7642,1310 G Street,Bellingham,98225,http://www.laborready.com,Temporary Agency
King County Library System - Foster,Special Collections/Language Collection,(206) 242-1640,4060 S 144th St,Tukwila,98168,,"Offers a language collection, a special collection of ESL, and career development materials."
King County Library System - Shoreline,Maintains collection of documents,(206) 362-7550,345 NE 175th St,Shoreline,98155,,"Maintains collection of documents from the city of Shoreline, a languages collection, ESL, career center, consumer center and adult literacy."
King County Work Training Program,,(206) 296-5220,Seattle,,,,Call for more information.
Labor Express - Renton,Temporary Agency,(425) 226-5400,Renton,,98056,http://www.laborexpress.com,Temporary Agency
Cobos Group,Temporary Agency,(206) 340-1471,1001 4th Avenue Suite 3200,Seattle,98154,http://www.cobosgroup.com,Temporary Agency
Labor Express - Seattle,Temporary Agency,(206) 328-7307,419 Rainier Avenue Sout,Seattle,98144,http://www.laborexpress.com,Temporary Agency
Urban League of Metropolitan Seattle,Assists students in preparing for SAT,(206) 461-3792,105 14th Ave,Seattle,9812,http://www.urbanleague.org/,"Offers tutoring, scholarship services, and education enrichment program to meet state standards."
Labor Ready - Bellevue,Temporary Agency,(425) 686-8878,827 108th Avenue Northe,Bellevue,98004,http://www.laborready.com,Temporary Agency
Labor Express - Seattle,Temporary Agency,(206) 772-3322,Seattle,,98101,http://www.laborexpress.com,Temporary Agency
Northwest Harvest,Distributes food bags,(206) 625-0755,711 Cherry St,Seattle,98104,http://www.northwestharvest.org,"Distributes food bags to anyone in need; Monday and Wednesday 9:00am - 5:00pm. Bread and produce only. Tuesday, Thursday, and Friday 9:00am - 5:00pm. Clients may visit once per day. Provides baby food, formula."
Neighborhood Service Centers - Greater Duwamish,Emergency food,(206) 233-2044,2821 Beacon Ave. S.,Seattle,98144,,Emergency food
Neighborhood Service Centers - Greenwood,Emergency food,(206) 684-4096,8515 Greenwood Ave. S.,Seattle,98103-,,Emergency food
Neighborhood Service Centers - Lake City,Emergency food,(206) 684-7528,12525 28th Ave. NE (2nd,Seattle,98125-,,Emergency food
Neighborhood Service Centers - Queen Anne/Magnolia,Emergency food,(206) 684-4812,157 Roy Street,Seattle,98109-,,Emergency food
Neighborhood Service Centers - West Seattle,Emergency food,(206) 233-2045,4205 SW Alaska Atreet,Seattle,98116,,Emergency food
Neighborhood Service Centers - University,Emergency food,(206) 684-7542,4534 Unity Way NE,Seattle,98105-,,Emergency food
New Horizons Ministries,Drop-in center,(206) 374-0866,2709 3rd Ave,Seattle,98121,http://www.nhmin.org,"Drop-in center is open weekday mornings and several evenings for street youth, 22 and younger. Hot dinner four days each week. Call for hours and information"
Northwest Community Services Food Bank,Operates food pantry,(206) 723-4105,4205 Rainier Ave S,Seattle,98118,,"Operates food pantry for anyone in need; general public, Saturday 9:30am - 2:00pm, Wednesday 9:30am - 2:00pm. Seniors and disabled, prepares food bags for homebound or people with disabilities"
North Helpline Food Pantry,Operates food pantry,(206) 12707,30th Ave NE,Seattle,98125,http://www.northhelpline.org,Operates food pantry for North Seattle residents. General public Saturday 12:00pm - 2:00pm. Seniors/disabled Saturday 9:30pm - 11:30am. Photo ID and proof of address required. Distributes on-site
North Auburn Baptist Church - Food Bank,Operates a food bank,(253) 631-0528,1039 22nd St NE,Auburn,98002,,Operates a food bank in the Auburn area for anyone in need. Mondays 12:00pm - 2:00pm. Provides food delivery for homebound people
Neighbors Helping Neighbors - Delridge,Emergency food,(206) 684-7416,5405 Delridge Way SW,Seattle,98106-,,Emergency food
New Hope Lutheran Church,Provides food pantry,(253) 351-0450,603 3rd Ave SE,Pacific,98047-,,Tuesday: 11:00am - 2:00pm. Provides food pantry for Pacific and Algona residents. Pick up food during the hours listed above. Assistance available up to two times per month
Neighborhood Service Centers - Southeast,Emergency food,(206) 386-1924,3815 So. Othello St. Ste 1,Seattle,98118,,Emergency food
Lifelong AIDS Alliance,Provides food distribution and meal/grocery home delivery,(206) 957-1726,1002 E Seneca St,Seattle,98122,http://www.lifelongaidsalliance.org,Provides food distribution and meal/grocery home delivery for people living with HIV/AIDS who are Lifelong AIDS Alliance clients
Muckleshoot Family Resource Center,Provides food pantry,(253) 876-3336,38909 172nd Ave SE,Auburn,98092,http://www.muckleshoot.nsn.us,Provides food pantry for Muckleshoot tribal members and service area residents; diapers and home delivery available for eligible tribal members. Monday through Friday 10:00am - 4:00pm
Mount Si Helping Hand,Operates a food pantry,(425) 888-0096,North Bend Community 116 E 3rd St,North Bend,98045,,"Operates a food pantry for North Bend, Snoqualmie, and Fall City residents. Wednesday 9:30am - 1:00pm and 5:30pm - 6:30pm. Will provide emergency food on other days"
Millionaires Club,Services for the homeless,(206) 728-5627,2515 Western Ave,Seattle,98121-,,Services for the homeless
Mercer Island Youth and Family Services,"Food Assistance, Housing Assistance",(206) 236-3525,2040 84th Ave SE,Mercer Island,98040,http://www.mercergov.org/yfs,"Case management, emergency assistance for food, rent, utilities, and occasional other emergency needs for Mercer Island residents. Food pantry Monday through Friday 9:00am - 5:00pm"
Margie Williams Helping Hands Center,"Food Assistance, Clothing Assistance",(425) 687-8365,4519 NE 10th St,Renton,98059,http://www.mlkbaptist.com,Provides a food pantry and clothing bank. No geographic restrictions.
Margie Williams Helping Hands Center,"Food Assistance, Clothing Assistance",(425) 687-8365,13611 SE 116th,Renton,98056,,Provides a food pantry and clothing bank. No geographic restrictions.
Neighborhood Service Centers - Central,Food Assistance,(206) 684-4767,2301 S. Jackson Stret,Seattle,98144-,,Emergency food
Magnolia Helpline,Food Assistance,(206) 284-5631,,Seattle,98199,,"Provide vouchers for food, gas, bus tickets and prescriptions; occasional food. For residents of Magnolia ZIP code 98199 ONLY. Call between 9:00am and 12:00pm, Tuesday and Thursday."
Neighborhood Service Centers - Freemont,Food Assistance,(206) 684-4054,908 N. 34th,Seattle,98103-,,Emergency food
Muckleshoot Tribe,Food Assistance,(253) 939-3311,38909 172nd Ave SE,Auburn,98092,,"Tribal Contractors. Monday throught Friday 10:00am - 4:00pm. Provides food pantry for Muckleshoot tribal members and service area residents, diapers and home delivery available for eligible tribal members."
Multi-Service Center - Federal Way,"Food Assistance, Clothing Assistance",(253) 838-6810,1200 S 336th St,Federal Way,98003,http://www.multi-servicecenter.com,Operates food pantry and baby cupboard for Federal Way School district residents. Provides clothing to any South King County resident.
Neighborhood House Helpline,Food Assistance,(206) 767-7124,422 SW 102 St,Seattle,98146,http://www.nhwa.org,Distributes food bags and issues emergency food cards provided by the Seattle Emergency Feeding Program. Serves anyone in need.
Neighboorhood Service Centers - Delridge,Food Assistance,(206) 684-7416,5405 Delridge Way SW,Seattle,98106-,,Food bank and other services. Call for hours and information
